Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_210_4;01/09/2026 18:02;" 311° 21' 24.17055""";"  77° 25' 45.70755""";600.884;Atmos PPM;0;1013.25;11.1012;175648.857;9046021.443;209.741;176089.028;9045633.904;78.939;586.567;586.461
CND_190_5;01/09/2026 18:02;" 312° 12' 18.88166""";"  78° 10' 51.67295""";542.241;Atmos PPM;0;1013.25;11.1012;175695.923;9045990.476;190.02;176089.028;9045633.904;78.939;530.796;530.73
CND_25;01/09/2026 18:02;" 313° 23' 17.81829""";"  82° 24' 39.27281""";237.061;Atmos PPM;0;1013.25;11.1012;175918.278;9045795.336;110.251;176089.028;9045633.904;78.939;235.096;234.98
CND_29;01/09/2026 18:02;" 313° 30' 25.47613""";"  80° 52' 41.92040""";264.294;Atmos PPM;0;1013.25;11.1012;175899.781;9045813.568;120.843;176089.028;9045633.904;78.939;261.111;260.947
CND_200_5;01/09/2026 18:02;" 316° 06' 24.25781""";"  77° 35' 23.76851""";562.271;Atmos PPM;0;1013.25;11.1012;175708.349;9046029.648;199.796;176089.028;9045633.904;78.939;549.185;549.117
CND_1401;01/09/2026 18:02;" 317° 46' 10.90795""";"  79° 41' 09.05868""";345.465;Atmos PPM;0;1013.25;11.1012;175860.615;9045885.584;140.801;176089.028;9045633.904;78.939;340.026;339.875
CND_1603;01/09/2026 18:02;" 320° 45' 22.64356""";"  78° 43' 30.17719""";370.089;Atmos PPM;0;1013.25;11.1012;175859.45;9045915.005;151.307;176089.028;9045633.904;78.939;389.496;362.938
CND_1504;01/09/2026 18:03;" 320° 45' 22.10345""";"  78° 43' 30.08723""";370.089;Atmos PPM;0;1013.25;11.1012;175859.449;9045915.004;151.307;176089.028;9045633.904;78.939;362.974;362.937
CND_210_5;01/09/2026 18:03;" 320° 50' 25.08892""";"  77° 01' 21.43210""";587.599;Atmos PPM;0;1013.25;11.1012;175727.495;9046077.902;210.917;176089.028;9045633.904;78.939;572.641;572.573
CND_190_6;01/09/2026 18:03;" 321° 21' 23.18864""";"  77° 52' 41.55152""";529.235;Atmos PPM;0;1013.25;11.1012;175765.947;9046038.06;190.092;176089.028;9045633.904;78.939;517.464;517.42
CND_26;01/09/2026 18:03;" 321° 48' 35.48580""";"  82° 11' 22.93876""";231.314;Atmos PPM;0;1013.25;11.1012;175947.358;9045814.031;110.377;176089.028;9045633.904;78.939;229.307;229.164
CND_30;01/09/2026 18:03;" 323° 47' 12.42868""";"  80° 41' 06.33035""";257.39;Atmos PPM;0;1013.25;11.1012;175938.989;9045838.843;120.605;176089.028;9045633.904;78.939;254.209;253.991
CND_1402;01/09/2026 18:03;" 325° 03' 30.44161""";"  79° 32' 25.89293""";340.051;Atmos PPM;0;1013.25;11.1012;175897.531;9045908.035;140.68;176089.028;9045633.904;78.939;334.538;334.393
CND_200_6;01/09/2026 18:03;" 325° 15' 03.76634""";"  77° 24' 56.89108""";553.594;Atmos PPM;0;1013.25;11.1012;175781.117;9046077.854;199.573;176089.028;9045633.904;78.939;540.325;540.279
CND_210_6;01/09/2026 18:03;" 328° 34' 39.55963""";"  76° 54' 33.67980""";582.158;Atmos PPM;0;1013.25;11.1012;175793.462;9046117.787;210.815;176089.028;9045633.904;78.939;567.059;567.011
CND_1503;01/09/2026 18:04;" 328° 44' 17.08284""";"  78° 43' 01.83580""";367.86;Atmos PPM;0;1013.25;11.1012;175901.847;9045942.284;150.921;176089.028;9045633.904;78.939;360.776;360.742
CND_34;01/09/2026 18:04;" 330° 33' 55.81128""";"  80° 30' 48.21130""";315.764;Atmos PPM;0;1013.25;11.1012;175936.001;9045905.156;130.989;176089.028;9045633.904;78.939;311.606;311.44
CND_200_7;01/09/2026 18:04;" 332° 03' 31.97803""";"  77° 26' 33.86841""";554.824;Atmos PPM;0;1013.25;11.1012;175835.324;9046112.334;199.586;176089.028;9045633.904;78.939;541.571;541.536
CND_1604;01/09/2026 18:04;" 332° 27' 38.24538""";"  78° 10' 05.75570""";397.115;Atmos PPM;0;1013.25;11.1012;175909.353;9045978.549;160.373;176089.028;9045633.904;78.939;388.706;388.669
CND_27;01/09/2026 18:04;" 332° 40' 56.30671""";"  82° 13' 54.78703""";231.131;Atmos PPM;0;1013.25;11.1012;175983.949;9045837.38;110.183;176089.028;9045633.904;78.939;229.13;229.006
CND_22;01/09/2026 18:04;" 334° 37' 12.94059""";"  80° 44' 18.19516""";259.96;Atmos PPM;0;1013.25;11.1012;175979.079;9045865.718;120.782;176089.028;9045633.904;78.939;256.724;256.566
CND_210_7;01/09/2026 18:05;" 337° 51' 17.98517""";"  77° 09' 30.26984""";585.001;Atmos PPM;0;1013.25;11.1012;175874.077;9046162.201;208.982;176089.028;9045633.904;78.939;570.387;570.352
CND_14;01/09/2026 18:06;" 345° 49' 43.80978""";"  85° 42' 28.84281""";155.673;Atmos PPM;0;1013.25;11.1012;176051.036;9045784.418;90.591;176089.028;9045633.904;78.939;155.246;155.235
CND_36;01/09/2026 18:06;" 346° 51' 03.29808""";"  80° 56' 12.01750""";333.035;Atmos PPM;0;1013.25;11.1012;176014.242;9045954.159;131.408;176089.028;9045633.904;78.939;328.884;328.871
CND_1803;01/09/2026 18:06;" 348° 01' 15.40856""";"  78° 12' 07.01328""";498.574;Atmos PPM;0;1013.25;11.1012;175987.776;9046111.313;180.895;176089.028;9045633.904;78.939;488.054;488.028
